gig_title,client,budget,proposal_sent_date,status
Real Estate Workflow Automation (M365 Environment),Calgary Law Firm,$18000 Fixed,2026-03-27,Draft
Microsoft 365 Copilot Agent Buildout + SharePoint Integration,Unknown (US-based),$75-150/hr (<30 hrs/wk),2026-03-27,Draft
AI Customer Service Chatbot for E-Commerce Store,Unknown (E-Commerce),$2000-5000 Fixed,2026-03-27,Draft
n8n / Make.com Workflow Automation for Lead Generation Pipeline,Unknown (B2B SaaS),$1500-3000 Fixed,2026-03-27,Draft
AI Voice Agent for Inbound Customer Support Calls,Unknown (Call Center),$3000-8000 Fixed,2026-03-27,Draft
SharePoint Approval Workflow Automation,Unknown (Enterprise),$1000-3000 Fixed,2026-03-27,Draft
Automated Review Monitoring & Response System,Unknown (Multi-Location Biz),$2000-4000 Fixed,2026-03-27,Draft
Email Workflow Automation with Power Automate,Unknown (Operations Team),$500-1500 Fixed,2026-03-27,Draft
AI-Powered Data Entry Automation for Small Business,Unknown (SMB),$1000-2500 Fixed,2026-03-27,Draft
Custom AI Assistant for Internal Knowledge Base,Unknown (Enterprise/Mid-Market),$3000-6000 Fixed,2026-03-27,Draft
